head,relation,tail
C0677764,Etiology_AssociatedWith,C3273128
C0677764,Treatment_IndicationUse,C1514509
C0677764,Treatment_IndicationUse,C1511293
C0677764,Etiology_AssociatedWith,C0444070
C0677764,MoA_InhibitionBlockade,C1155893
C0677764,MoA_ActivationInduction,C4329354
C0677764,Etiology_AssociatedWith,C0042839
C0677764,Etiology_AssociatedWith,C0079589
C0677764,Etiology_AssociatedWith,C2216378
C0677764,Etiology_AssociatedWith,C0920425
C0677764,Taxonomy_IsA,C0278925
C0379900,Etiology_AssociatedWith,C4060542
C1424232,Etiology_AssociatedWith,C4060542
